mz,Intensity
273.11899,2502.57
273.2121,1653.74
274.0921,1688.26
278.11334,1884.28
279.09753,3505.11
284.12363,2133.27
286.08542,1476.87
287.19183,2942.23
290.11371,5897.91
292.19257,1171.34
301.20853,1560.05
302.1857,2016.97
310.17673,1383.74
312.15546,1226.4
313.24457,1994.1
314.09827,2598.55
314.54422,1851.78
320.21991,6936.77
320.55417,2645.9
328.11353,1345.53
328.18723,1560.94
330.23383,2561.21
330.27115,1270.88
331.21814,4904.78
336.11896,4937.78
340.15005,3576.22
342.12878,1877.52
343.10815,1816.41
345.19736,2783.13
354.1297,6882.65
358.16055,6461.11
358.22845,5257.68
359.21326,16875.9
366.13989,2437.65
367.27029,6705.27
367.77249,2641.87
369.18777,1591.61
376.27579,22974.2
377.27985,1872.71
386.2153,1576.73
388.23987,1847.21
391.19257,1150.6
393.14063,1788.53
394.12476,2018.57
405.73236,1399.03
411.22394,1517.93
422.29501,1695.72
422.78717,3646.18
423.28802,1228.2
424.84134,1245.08
430.28674,2932.48
431.17386,1165.83
431.30081,11257.6
431.80121,5552.83
432.22949,1545.03
447.31116,1476.74
448.06271,1239.65
451.14676,1704.38
451.18594,1645.34
453.20911,1481.43
453.34418,3164.79
456.72571,1563.16
458.28171,12966.9
459.28476,3150.04
460.26071,2024.9
462.30728,2759.81
463.30807,1490.41
468.19086,1669.94
469.23102,1654.21
473.32925,4599.78
477.32388,1672.44
477.34985,1445.54
477.67218,2712.71
478.9447,1305.55
479.32513,10624.1
479.82684,191284
480.32819,83791.9
480.82968,17663.9
481.3327,1784.98
483.23254,1855.69
489.36124,2256.45
493.29739,2053.34
496.91641,1481.06
504.33438,1683.23
508.16855,1579.04
514.31964,1684.98
517.19354,3139.38
521.29407,5042.35
528.19537,2869.36
530.35217,1792.53
535.86719,2272.46
536.36908,44710.3
536.86993,18084.7
537.37231,5625.06
542.1947,1887.93
544.36548,1739.15
549.2666,1738.2
549.35895,3488.98
551.75238,1579.84
555.15558,3531.84
555.38177,2056.76
556.15674,1596.17
559.33002,4660.58
560.3327,2017.19
562.34143,1922.74
569.15234,1447.57
569.29138,1568.87
575.41052,2239.98
576.4079,1996.27
577.40686,1208.34
578.31671,3364.14
578.41779,2594.6
579.41748,2438.94
583.37793,3865.76
585.90381,33611.5
586.40619,17606.8
586.90607,3869.13
587.26642,19972.8
587.32471,19108.9
588.27069,8612.25
588.32574,6498.55
598.3443,2632.9
599.70984,2593.7
601.38818,6327.27
